,,
,mass A,
t,x,y
0.033,-0.127,-1.54E-03
0.067,-0.13,-9.26E-04
0.1,-0.13,-7.48E-04
0.133,-0.13,-6.30E-04
0.167,-0.13,-4.98E-04
0.2,-0.129,-4.11E-04
0.234,-0.129,-2.62E-04
0.267,-0.127,-1.97E-04
0.3,-0.126,-1.77E-04
0.334,-0.123,-3.99E-04
0.367,-0.121,-3.69E-04
0.4,-0.119,-4.08E-04
0.434,-0.117,-5.75E-04
0.467,-0.116,-5.24E-04
0.501,-0.113,-5.22E-04
0.534,-0.112,-4.36E-04
0.567,-0.11,-4.02E-04
0.601,-0.109,-3.84E-04
0.634,-0.107,-5.13E-04
0.667,-0.106,-3.97E-04
0.701,-0.11,1.63E-03
0.734,-0.109,1.78E-03
0.767,-0.108,1.92E-03
0.801,-0.114,2.90E-03
0.834,-0.107,1.81E-03
0.868,-0.115,3.24E-03
0.901,-0.115,3.34E-03
0.934,-0.113,3.37E-03
0.968,-0.112,3.34E-03
1.001,-0.107,2.86E-03
1.034,-0.111,3.74E-03
1.068,-0.112,3.94E-03
1.101,-0.113,4.44E-03
1.134,-0.11,4.13E-03
1.168,-0.107,3.98E-03
1.201,-9.98E-02,2.83E-03
1.235,-0.102,3.34E-03
1.268,-0.105,4.25E-03
1.301,-0.108,4.80E-03
1.335,-0.108,4.96E-03
1.368,-0.108,5.12E-03
1.401,-0.107,5.22E-03
1.435,-0.107,5.37E-03
1.468,-0.106,5.41E-03
1.502,-0.106,5.51E-03
1.535,-0.102,4.75E-03
1.568,-0.102,4.83E-03
1.602,-0.103,5.40E-03
1.635,-0.1,5.38E-03
1.668,-9.91E-02,5.44E-03
1.702,-9.72E-02,5.23E-03
1.735,-9.64E-02,5.17E-03
1.768,-9.45E-02,5.20E-03
1.802,-9.33E-02,5.00E-03
1.835,-9.59E-02,5.76E-03
1.869,-9.53E-02,5.67E-03
1.902,-9.30E-02,5.58E-03
1.935,-9.15E-02,5.58E-03
1.969,-9.36E-02,6.12E-03
2.002,-9.11E-02,6.09E-03
2.035,-8.85E-02,5.92E-03
2.069,-8.62E-02,5.70E-03
2.102,-8.38E-02,5.62E-03
2.135,-8.15E-02,5.56E-03
2.169,-7.97E-02,6.33E-03
2.202,-7.72E-02,6.26E-03
2.236,-7.49E-02,6.26E-03
2.269,-7.25E-02,6.11E-03
2.302,-7.01E-02,5.92E-03
2.336,-6.79E-02,5.72E-03
2.369,-6.49E-02,5.56E-03
2.402,-6.32E-02,5.53E-03
2.436,-6.17E-02,5.57E-03
2.469,-5.95E-02,5.50E-03
2.503,-5.62E-02,5.25E-03
2.536,-5.45E-02,5.16E-03
2.569,-5.23E-02,5.01E-03
2.603,-5.01E-02,4.83E-03
2.636,-4.90E-02,4.71E-03
2.669,-4.68E-02,4.43E-03
2.703,-4.43E-02,4.41E-03
2.736,-4.24E-02,4.15E-03
2.769,-3.99E-02,3.96E-03
2.803,-3.81E-02,3.81E-03
2.836,-3.58E-02,3.78E-03
2.87,-3.61E-02,3.78E-03
2.903,-3.43E-02,3.81E-03
2.936,-3.19E-02,3.59E-03
2.97,-3.29E-02,3.42E-03
3.003,-3.17E-02,3.23E-03
3.036,-2.99E-02,2.89E-03
3.07,-2.84E-02,2.87E-03
3.103,-2.64E-02,2.84E-03
3.136,-2.48E-02,2.88E-03
3.17,-2.32E-02,2.50E-03
3.203,-2.20E-02,2.34E-03
3.237,-2.01E-02,2.27E-03
3.27,-1.86E-02,1.96E-03
3.303,-1.70E-02,1.94E-03
3.337,-1.62E-02,1.62E-03
3.37,-1.40E-02,1.37E-03
3.403,-1.26E-02,1.08E-03
3.437,-1.06E-02,8.95E-04
3.47,-9.35E-03,1.05E-03
3.504,-6.91E-03,7.47E-04
3.537,-5.20E-03,8.27E-04
3.57,-3.14E-03,5.58E-04
3.604,-1.21E-03,2.96E-04
3.637,8.38E-04,-2.24E-05
3.67,2.88E-03,-1.93E-04
3.704,5.32E-03,-3.83E-04
3.737,5.20E-03,-1.66E-03
3.77,7.67E-03,-1.81E-03
3.804,9.83E-03,-1.97E-03
3.837,1.25E-02,-2.23E-03
3.871,1.51E-02,-2.33E-03
3.904,1.81E-02,-2.39E-03
3.937,1.96E-02,-2.54E-03
3.971,2.26E-02,-2.72E-03
4.004,2.48E-02,-2.75E-03
4.037,2.76E-02,-2.93E-03
4.071,3.06E-02,-3.11E-03
4.104,3.37E-02,-3.22E-03
4.137,3.74E-02,-3.64E-03
4.171,4.11E-02,-3.74E-03
4.204,4.52E-02,-4.15E-03
4.238,4.97E-02,-4.48E-03
4.271,5.43E-02,-4.67E-03
4.304,5.87E-02,-5.01E-03
4.338,6.30E-02,-5.28E-03
4.371,6.77E-02,-5.68E-03
4.404,7.90E-02,-2.78E-03
4.438,9.53E-02,-1.93E-05
4.471,0.118,4.63E-03
4.505,0.146,2.18E-03
4.538,0.162,1.43E-03
4.571,0.17,1.39E-03
4.605,0.169,1.94E-03
4.638,0.167,3.20E-03
4.671,0.16,4.12E-03
4.705,0.16,2.91E-03
4.738,0.166,2.33E-03
4.771,0.17,1.64E-03
4.805,0.171,-5.84E-04
4.838,0.17,-5.14E-03
4.872,0.17,-8.70E-03
4.905,0.171,-1.08E-02
4.938,0.17,-9.26E-04
4.972,0.17,-9.26E-04
5.005,0.17,-9.26E-04
